#[us standard key]:[standard]:[shift]:[altgr]:[shift+altgr]
`:U+2010 ‐ HYPHEN:U+2013 – EN DASH:U+2014 — EM DASH:U+2053 ⁓ SWUNG DASH
w:U+1F469 👩 WOMAN:U+1F61F 😟 WORRIED FACE:U+26A0 ⚠ WARNING SIGN:U+1F1FC 🇼 REGIONAL INDICATOR SYMBOL LETTER W
e:U+1F47D 👽 EXTRATERRESTRIAL ALIEN:U+267B ♻ BLACK UNIVERSAL RECYCLING SYMBOL:U+2697 ⚗ ALEMBIC:U+1F1EA 🇪 REGIONAL INDICATOR SYMBOL LETTER E
r:U+2622 ☢ RADIOACTIVE SIGN:U+1F622 😢 CRYING FACE:U+1F62B 😫 TIRED FACE:U+1F1F7 🇷 REGIONAL INDICATOR SYMBOL LETTER R
t:U+1F602 😂 FACE WITH TEARS OF JOY:U+260E ☎ BLACK TELEPHONE:U+1F914 🤔 THINKING FACE:U+1F1F9 🇹 REGIONAL INDICATOR SYMBOL LETTER T
y:U+1F644 🙄 FACE WITH ROLLING EYES:U+2699 ⚙ GEAR:U+269C ⚜ FLEUR-DE-LIS:U+1F1FE 🇾 REGIONAL INDICATOR SYMBOL LETTER Y
u:U+1F612 😒 UNAMUSED FACE:U+2B50 ⭐ WHITE MEDIUM STAR:U+231A ⌚ WATCH:U+1F1FA 🇺 REGIONAL INDICATOR SYMBOL LETTER U
i:U+1F47F 👿 IMP:U+1F308 🌈 RAINBOW:U+262A ☪ STAR AND CRESCENT:U+1F1EE 🇮 REGIONAL INDICATOR SYMBOL LETTER I
o:U+1F916 🤖 ROBOT FACE:U+1F4A3 💣 BOMB:U+2626 ☦ ORTHODOX CROSS:U+1F1F4 🇴 REGIONAL INDICATOR SYMBOL LETTER O
p:U+1F4A9 💩 PILE OF POO:U+1F4F0 📰 NEWSPAPER:U+262E ☮ PEACE SYMBOL:U+1F1F5 🇵 REGIONAL INDICATOR SYMBOL LETTER P
[:U+2248 ≈ ALMOST EQUAL TO:U+2245 ≅ APPROXIMATELY EQUAL TO:U+2282 ⊂ SUBSET OF:U+2283 ⊃ SUPERSET OF
]:U+2264 ≤ LESS-THAN OR EQUAL TO:U+2265 ≥ GREATER-THAN OR EQUAL TO:U+2268 ≨ LESS-THAN BUT NOT EQUAL TO:U+2269 ≩ GREATER-THAN BUT NOT EQUAL TO
\:U+2044 ⁄ FRACTION SLASH:U+200D  ZERO WIDTH JOINER:U+202E  RIGHT-TO-LEFT OVERRIDE:U+202D  LEFT-TO-RIGHT OVERRIDE
a:U+1F607 😇 SMILING FACE WITH HALO:U+2708 ✈ AIRPLANE:U+269B ⚛ ATOM SYMBOL:U+1F1E6 🇦 REGIONAL INDICATOR SYMBOL LETTER A
s:U+1F6F0 🛰 SATELLITE:U+2620 ☠ SKULL AND CROSSBONES:U+2600 ☀ BLACK SUN WITH RAYS:U+1F1F8 🇸 REGIONAL INDICATOR SYMBOL LETTER S
d:U+1F608 😈 SMILING FACE WITH HORNS:U+2721 ✡ STAR OF DAVID:U+2638 ☸ WHEEL OF DHARMA:U+1F1E9 🇩 REGIONAL INDICATOR SYMBOL LETTER D
f:U+2639 ☹ WHITE FROWNING FACE:U+23F3 ⏳ HOURGLASS WITH FLOWING SAND:U+1F0CF 🃏 PLAYING CARD BLACK JOKER:U+1F1EB 🇫 REGIONAL INDICATOR SYMBOL LETTER F
g:U+1F467 👧 GIRL:U+1F600 😀 GRINNING FACE:U+1F310 🌐 GLOBE WITH MERIDIANS:U+1F1EC 🇬 REGIONAL INDICATOR SYMBOL LETTER G
h:U+2764 ❤ HEAVY BLACK HEART:U+1F494 💔 BROKEN HEART:U+231B ⌛ HOURGLASS:U+1F1ED 🇭 REGIONAL INDICATOR SYMBOL LETTER H
j:U+1F511 🔑 KEY:U+1F512 🔒 LOCK:U+1F513 🔓 OPEN LOCK:U+1F1EF 🇯 REGIONAL INDICATOR SYMBOL LETTER J
k:U+1F648 🙈 SEE-NO-EVIL MONKEY:U+1F649 🙉 HEAR-NO-EVIL MONKEY:U+1F64A 🙊 SPEAK-NO-EVIL MONKEY:U+1F1F0 🇰 REGIONAL INDICATOR SYMBOL LETTER K
l:U+1F60D 😍 SMILING FACE WITH HEART-SHAPED EYES:U+2696 ⚖ SCALES:U+271D ✝ LATIN CROSS:U+1F1F1 🇱 REGIONAL INDICATOR SYMBOL LETTER L
;:U+1F3FB 1 EMOJI MODIFIER FITZPATRICK TYPE-1-2:U+1F3FC 2 EMOJI MODIFIER FITZPATRICK TYPE-3:U+1F3FD 3 EMOJI MODIFIER FITZPATRICK TYPE-4:U+1F3FE 4 EMOJI MODIFIER FITZPATRICK TYPE-5
':U+1F3FF 5 EMOJI MODIFIER FITZPATRICK TYPE-6:U+202C  POP DIRECTIONAL FORMATTING:U+2028  LINE SEPARATOR:U+2029  PARAGRAPH SEPARATOR
z:U+1F52B 🔫 PISTOL:U+1F52C 🔬 MICROSCOPE:U+1F52D 🔭 TELESCOPE:U+1F1FF 🇿 REGIONAL INDICATOR SYMBOL LETTER Z
x:U+1F576 🕶 DARK SUNGLASSES:U+1F4D6 📖 OPEN BOOK:U+1F4E1 📡 SATELLITE ANTENNA:U+1F1FD 🇽 REGIONAL INDICATOR SYMBOL LETTER X
c:U+2601 ☁ CLOUD:U+2604 ☄ COMET:U+262D ☭ HAMMER AND SICKLE:U+1F1E8 🇨 REGIONAL INDICATOR SYMBOL LETTER C
v:U+1F3AE 🎮 VIDEO GAME:U+1F5DD 🗝 OLD KEY:U+1F5E1 🗡 DAGGER KNIFE:U+1F1FB 🇻 REGIONAL INDICATOR SYMBOL LETTER V
b:U+1F466 👦 BOY:U+1F525 🔥 FIRE:U+2623 ☣ BIOHAZARD SIGN:U+1F1E7 🇧 REGIONAL INDICATOR SYMBOL LETTER B
n:U+1F620 😠 ANGRY FACE:U+1F319 🌙 CRESCENT MOON:U+1F913 🤓 NERD FACE:U+1F1F3 🇳 REGIONAL INDICATOR SYMBOL LETTER N
m:U+2642 ♂ MALE SIGN:U+2640 ♀ FEMALE SIGN:U+1F468 👨 MAN:U+1F1F2 🇲 REGIONAL INDICATOR SYMBOL LETTER M
,:U+221D ∝ PROPORTIONAL TO:U+22BB ⊻ XOR:U+22BC ⊼ NAND:U+22BD ⊽ NOR
.:U+2223 ∣ DIVIDES:U+2224 ∤ DOES NOT DIVIDE:U+2225 ∥ PARALLEL TO:U+2226 ∦ NOT PARALLEL TO
/:U+00A0  NO-BREAK SPACE:U+200C  ZERO WIDTH NON-JOINER:U+200B  ZERO WIDTH SPACE:U+034F  COMBINING GRAPHEME JOINER
